id,name,owner,watchers,created_at,updated_at,size,stars,open_issues_count,language,forks,description,topics,topic
73909408,seven23+sebastienbarbier,sebastienbarbier,99,2016-11-16T10:32:22Z,2024-10-29T20:17:41Z,151481,99,25,JavaScript,28,"Fully manual budget app to track personal expenses. 100% opensource, with privacy by design.","['budget', 'budget-app', 'budget-manager', 'budgeting', 'end-to-end-encryption', 'material-ui', 'opensource', 'privacy', 'react', 'reactjs', 'redux', 'webapp', 'webapplication']",Budget Tracker
93477553,expenses+jakubgarfield,jakubgarfield,1237,2017-06-06T04:53:58Z,2024-11-18T16:20:29Z,7247,1237,36,JavaScript,178,💰Expense tracker using Google Sheets 📉 as a storage written in React,"['expense-manager', 'expense-tracker', 'expenses', 'google-api', 'google-sheets', 'material-design', 'material-ui', 'progressive-web-app', 'react', 'react-components', 'reactjs', 'service-worker']",Expense Tracker
242376026,expense-tracker-react+bradtraversy,bradtraversy,495,2020-02-22T16:45:20Z,2024-11-05T23:12:22Z,3564,495,35,JavaScript,348,Simple expense tracker using React hooks & context,[],Expense Tracker
243030990,expense-tracker-mern+bradtraversy,bradtraversy,384,2020-02-25T15:15:52Z,2024-11-13T15:26:43Z,2577,384,29,JavaScript,194,Full stack expense tracker,[],Expense Tracker
311414815,speechly_expense_tracker_project+adrianhajdin,adrianhajdin,332,2020-11-09T17:31:27Z,2024-11-03T11:33:42Z,681,332,7,JavaScript,124,This is a code repository for the corresponding video tutorial,"['contextapi', 'localstorage', 'materialui', 'react', 'reactjs', 'speechly']",Expense Tracker
243572217,mern-expense-tracker+shamahoque,shamahoque,273,2020-02-27T17:10:19Z,2024-11-18T19:11:14Z,10646,273,3,JavaScript,49,A MERN stack based expense tracking application [Full-Stack React Projects],[],Expense Tracker
599723879,expense-tracker_fullstack+Maclinz,Maclinz,114,2023-02-09T18:44:18Z,2024-11-18T21:32:59Z,3737,114,6,JavaScript,103,,[],Expense Tracker
492910482,expense-tracker+FirebaseExtended,FirebaseExtended,85,2022-05-16T16:14:40Z,2024-10-08T13:03:35Z,99840,85,28,JavaScript,66,,[],Expense Tracker
118012142,expense-manager-react+YogeshPrasanna,YogeshPrasanna,74,2018-01-18T17:01:51Z,2024-10-11T07:52:49Z,53009,74,31,JavaScript,52,"An 💰 Expense Tracking App Made using React ⚛️ , Firebase for storage and authentication ","['bootstrap4', 'expense-manager', 'firebase', 'firebase-auth', 'firebase-database', 'github-buttons', 'google-analytics', 'javascript', 'pwa', 'react', 'trianglify']",Expense Tracker
73831290,telegram-expense-bot+muety,muety,63,2016-11-15T16:11:36Z,2024-11-09T23:47:44Z,853,63,7,JavaScript,20,A bot that helps you manage and track your daily expenses.,"['expense-tracker', 'telegram', 'telegram-bot']",Expense Tracker
