id,name,owner,watchers,created_at,updated_at,size,stars,open_issues_count,forks,topic
212639071,devops-exercises,bregman-arie,66572,2019-10-03T17:31:21Z,2024-11-08T13:31:59Z,4703,66572,33,14864,Social Network
3638964,ansible,ansible,62932,2012-03-06T14:58:02Z,2024-11-08T13:11:56Z,256130,62932,861,23904,Social Network
162998479,sherlock,sherlock-project,60218,2018-12-24T14:30:48Z,2024-11-08T14:40:03Z,17971,60218,217,6925,Social Network
41912791,v2ray-core,v2ray,45427,2015-09-04T11:42:53Z,2024-11-08T14:48:57Z,55125,45427,10,8948,Social Network
423275200,fuels-rs,FuelLabs,44055,2021-10-31T22:33:54Z,2024-11-07T18:45:47Z,16948,44055,94,1344,Social Network
402860175,fuels-ts,FuelLabs,44052,2021-09-03T18:11:03Z,2024-11-08T06:19:43Z,44911,44052,120,1345,Social Network
22458259,Alamofire,Alamofire,41127,2014-07-31T05:56:19Z,2024-11-08T08:16:28Z,38881,41127,41,7540,Social Network
191113739,interview_internal_reference,0voice,36620,2019-06-10T06:54:19Z,2024-11-08T08:40:53Z,1160,36620,31,9447,Social Network
229764465,30-Days-Of-JavaScript,Asabeneh,43221,2019-12-23T14:07:40Z,2024-11-08T15:19:15Z,124975,43221,345,10021,Messaging
37958358,tesseract.js,naptha,35251,2015-06-24T02:49:52Z,2024-11-08T09:19:01Z,109171,35251,35,2228,Messaging
19374812,tdesktop,telegramdesktop,26276,2014-05-02T12:36:31Z,2024-11-08T15:18:41Z,236098,26276,855,5215,Messaging
4307108,nsq,nsqio,24969,2012-05-12T14:37:08Z,2024-11-08T12:30:50Z,14163,24969,70,2899,Messaging
1213225,highlight.js,highlightjs,23690,2011-01-01T23:47:21Z,2024-11-08T14:30:13Z,14997,23690,107,3595,Messaging
75164823,rocketmq,apache,21221,2016-11-30T08:00:08Z,2024-11-08T08:46:57Z,42711,21221,429,11678,Messaging
600596928,LibreChat,danny-avila,18935,2023-02-12T01:06:52Z,2024-11-08T15:14:27Z,45852,18935,185,3151,Messaging
5901900,disruptor,LMAX-Exchange,17476,2012-09-21T13:42:24Z,2024-11-08T14:24:04Z,10070,17476,18,3928,Messaging
51575745,commitlint,conventional-changelog,16865,2016-02-12T08:37:56Z,2024-11-08T13:37:29Z,17854,16865,176,909,Messaging
6443435,nats-server,nats-io,15908,2012-10-29T16:12:24Z,2024-11-08T14:09:20Z,38852,15908,383,1405,Messaging
229764465,30-Days-Of-JavaScript,Asabeneh,43221,2019-12-23T14:07:40Z,2024-11-08T15:19:15Z,124975,43221,345,10021,Forum
7569578,discourse,discourse,42252,2013-01-12T00:25:55Z,2024-11-08T09:49:49Z,674077,42252,65,8321,Forum
37958358,tesseract.js,naptha,35251,2015-06-24T02:49:52Z,2024-11-08T09:19:01Z,109171,35251,35,2228,Forum
1213225,highlight.js,highlightjs,23690,2011-01-01T23:47:21Z,2024-11-08T14:30:13Z,14997,23690,107,3595,Forum
28628034,flarum,flarum,15369,2014-12-30T11:13:08Z,2024-11-08T14:51:31Z,737,15369,1,1571,Forum
9603889,NodeBB,NodeBB,14211,2013-04-22T16:49:40Z,2024-11-07T14:37:08Z,92005,14211,178,2797,Forum
2649214,arangodb,arangodb,13563,2011-10-26T06:42:00Z,2024-11-08T13:41:40Z,2844768,13563,777,836,Forum
170729130,lemmy,LemmyNet,13253,2019-02-14T17:17:17Z,2024-11-08T14:54:37Z,35815,13253,191,880,Forum
542931741,incubator-answer,apache,12890,2022-09-29T05:16:19Z,2024-11-08T09:11:39Z,12464,12890,81,993,Forum
6486826,ppsspp,hrydgard,11344,2012-11-01T08:41:48Z,2024-11-08T14:01:20Z,314478,11344,1239,2178,Forum
28457823,freeCodeCamp,freeCodeCamp,405202,2014-12-24T17:49:19Z,2024-11-08T15:17:25Z,473355,405202,226,38003,Community
291137,ohmyzsh,ohmyzsh,173825,2009-08-28T18:15:37Z,2024-11-08T15:20:28Z,12076,173825,427,25895,Community
15204860,papers-we-love,papers-we-love,87977,2013-12-15T14:31:41Z,2024-11-08T13:56:17Z,230581,87977,2,5740,Community
52281283,mastodon,mastodon,47078,2016-02-22T15:01:25Z,2024-11-08T15:17:45Z,263301,47078,4363,6971,Community
68720867,first-contributions,firstcontributions,45396,2016-09-20T14:35:09Z,2024-11-08T15:09:57Z,49355,45396,1474,79819,Community
229764465,30-Days-Of-JavaScript,Asabeneh,43221,2019-12-23T14:07:40Z,2024-11-08T15:19:15Z,124975,43221,345,10021,Community
7569578,discourse,discourse,42252,2013-01-12T00:25:55Z,2024-11-08T09:49:49Z,674077,42252,65,8321,Community
69629434,freecodecamp.cn,FreeCodeCampChina,37065,2016-09-30T03:13:43Z,2024-11-08T11:14:56Z,30959,37065,151,1377,Community
37958358,tesseract.js,naptha,35251,2015-06-24T02:49:52Z,2024-11-08T09:19:01Z,109171,35251,35,2228,Community
441903012,90DaysOfDevOps,MichaelCade,27212,2021-12-26T13:55:18Z,2024-11-08T09:43:18Z,373913,27212,9,6320,Community
145553672,funNLP,fighting41love,68969,2018-08-21T11:20:39Z,2024-11-08T14:51:03Z,174188,68969,128,14501,News
229764465,30-Days-Of-JavaScript,Asabeneh,43221,2019-12-23T14:07:40Z,2024-11-08T15:19:15Z,124975,43221,345,10021,News
37958358,tesseract.js,naptha,35251,2015-06-24T02:49:52Z,2024-11-08T09:19:01Z,109171,35251,35,2228,News
32948863,awesome-react-native,jondot,34639,2015-03-26T19:58:06Z,2024-11-08T14:58:35Z,5250,34639,84,3988,News
1213225,highlight.js,highlightjs,23690,2011-01-01T23:47:21Z,2024-11-08T14:30:13Z,14997,23690,107,3595,News
26784827,core,dotnet,20965,2014-11-18T00:44:57Z,2024-11-08T07:41:17Z,40979,20965,330,4907,News
20281866,ToolsOfTheTrade,cjbarber,16581,2014-05-29T04:11:33Z,2024-11-08T12:57:35Z,1552,16581,20,1277,News
45261969,plaid,nickbutcher,16257,2015-10-30T16:10:56Z,2024-11-06T10:37:45Z,33949,16257,103,3160,News
14681876,newspaper,codelucas,14152,2013-11-25T09:50:50Z,2024-11-08T11:25:46Z,18349,14152,503,2117,News
2649214,arangodb,arangodb,13563,2011-10-26T06:42:00Z,2024-11-08T13:41:40Z,2844768,13563,777,836,News
377496562,AppFlowy,AppFlowy-IO,57803,2021-06-16T12:56:48Z,2024-11-08T15:08:25Z,85534,57803,913,3790,Wiki
229764465,30-Days-Of-JavaScript,Asabeneh,43221,2019-12-23T14:07:40Z,2024-11-08T15:19:15Z,124975,43221,345,10021,Wiki
519859998,AFFiNE,toeverything,42006,2022-07-31T18:45:21Z,2024-11-08T14:46:02Z,383608,42006,240,2741,Wiki
37958358,tesseract.js,naptha,35251,2015-06-24T02:49:52Z,2024-11-08T09:19:01Z,109171,35251,35,2228,Wiki
59435364,outline,outline,28278,2016-05-22T21:31:47Z,2024-11-08T13:35:56Z,60772,28278,112,2254,Wiki
92111509,trilium,zadam,27328,2017-05-23T00:30:20Z,2024-11-08T14:34:01Z,134395,27328,897,1915,Wiki
65848095,wiki,requarks,24707,2016-08-16T19:35:26Z,2024-11-08T08:41:43Z,39707,24707,160,2729,Wiki
1213225,highlight.js,highlightjs,23690,2011-01-01T23:47:21Z,2024-11-08T14:30:13Z,14997,23690,107,3595,Wiki
140516736,OI-wiki,OI-wiki,21194,2018-07-11T03:28:14Z,2024-11-08T12:04:14Z,92980,21194,145,3958,Wiki
392073243,platform,hcengineering,17031,2021-08-02T19:39:23Z,2024-11-08T15:20:33Z,6488660,17031,437,1029,Wiki
